Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),Listing Date
Nairobi,Apartment,1,1,N/A,None,3600000,N/A
Lavington,Apartment,3,N/A,N/A,None,18000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,18000000,N/A
Kitisuru,Apartment,2,2,N/A,None,9500000,N/A
Kitisuru,Apartment,1,1,N/A,None,4200000,N/A
Nairobi,Apartment,1,1,N/A,None,4200000,N/A
Kitisuru,Apartment,1,1,N/A,None,6500000,N/A
Nairobi,Apartment,1,1,N/A,None,6500000,N/A
Kitisuru,Apartment,1,1,N/A,None,5000000,N/A
Kilimani,Apartment,2,2,N/A,None,8400000,N/A
Nairobi,Apartment,2,2,N/A,None,8400000,N/A
Lavington,Apartment,2,1,N/A,None,6500000,N/A
Lavington,Apartment,2,2,N/A,None,11500000,N/A
Karen,Land,N/A,N/A,4046.9,None,60000000,N/A
Karen,Land,N/A,N/A,8093.7,None,30000000,N/A
Karen,Land,N/A,N/A,8093.7,None,32000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,32000000,N/A
Karen,Land,N/A,N/A,8093.7,None,28000000,N/A
Nairobi,Apartment,N/A,N/A,N/A,None,28000000,N/A
Karen,Land,N/A,N/A,8093.7,None,27000000,N/A
Kitisuru,Apartment,2,2,N/A,None,8500000,N/A
Nairobi,Apartment,2,2,N/A,None,8500000,N/A
